grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
4.8801,8,-1.5,-1.812831042,-1.752362776,-1.633335291,-1.913724165
4.8901,8,-1.5,-1.812079041,-1.751844425,-1.632473784,-1.912635909
4.9001,8,-1.5,-1.811328436,-1.751327199,-1.631614607,-1.911550091
4.9101,8,-1.5,-1.810579223,-1.750811093,-1.630757753,-1.910466703
4.9201,8,-1.5,-1.809831397,-1.750296104,-1.629903219,-1.909385741
4.9301,8,-1.5,-1.809084954,-1.749782228,-1.629050997,-1.908307197
4.9401,8,-1.5,-1.808339889,-1.749269461,-1.628201083,-1.907231066
4.9501,8,-1.5,-1.8075962,-1.748757798,-1.627353469,-1.906157339
4.9601,8,-1.5,-1.80685388,-1.748247235,-1.626508151,-1.905086012
4.9701,8,-1.5,-1.806112928,-1.74773777,-1.625665121,-1.904017078
4.9801,8,-1.5,-1.805373337,-1.747229397,-1.624886484,-1.902950531
4.9901,8,-1.5,-1.804635105,-1.746722113,-1.6239859,-1.901886363
5,8,-1.5,-1.803905588,-1.74622097,-1.623158047,-1.90082457
5.01,8,-1.5,-1.803170046,-1.745715841,-1.622324081,-1.899765145
5.02,8,-1.5,-1.80243585,-1.745211789,-1.621492371,-1.898708081
5.03,8,-1.5,-1.801702996,-1.74470881,-1.620662908,-1.897653374
5.04,8,-1.5,-1.80097148,-1.7442069,-1.619835685,-1.896601015
5.05,8,-1.5,-1.800241298,-1.743706055,-1.619010694,-1.895551
5.06,8,-1.5,-1.799512446,-1.743206274,-1.61818793,-1.894503322
5.07,8,-1.5,-1.79878492,-1.742707549,-1.617367383,-1.893457976
5.08,8,-1.5,-1.798058716,-1.742209877,-1.616549046,-1.892414955
5.09,8,-1.5,-1.79733383,-1.74171219,-1.628792005,-1.891374254
5.1,8,-1.5,-1.796610258,-1.741216649,-1.627971546,-1.890335866
5.11,8,-1.5,-1.795887997,-1.740722151,-1.627153247,-1.889299786
5.12,8,-1.5,-1.795167043,-1.740228694,-1.626337097,-1.888266008
5.13,8,-1.5,-1.794447391,-1.739736272,-1.62552309,-1.887234526
5.14,8,-1.5,-1.793729038,-1.739244882,-1.624711216,-1.886205334
5.15,8,-1.5,-1.79301198,-1.738754519,-1.623901468,-1.885128427
5.16,8,-1.5,-1.792296213,-1.73826518,-1.623093838,-1.884103799
5.17,8,-1.5,-1.791581734,-1.73777686,-1.622288316,-1.883081445
5.18,8,-1.5,-1.790868539,-1.737289557,-1.621484896,-1.882061358
5.19,8,-1.5,-1.790156623,-1.736803225,-1.620683568,-1.881043533
5.2,8,-1.5,-1.789445984,-1.736317853,-1.619884326,-1.880027965
5.21,8,-1.5,-1.788736617,-1.735833584,-1.619087161,-1.879014648
5.22,8,-1.5,-1.78802852,-1.73535032,-1.618292064,-1.878003577
5.23,8,-1.5,-1.787321687,-1.734868053,-1.617499029,-1.876994746
5.24,8,-1.5,-1.786616116,-1.734386777,-1.616708047,-1.87598815
5.25,8,-1.5,-1.785911803,-1.73390649,-1.615918729,-1.874983784
5.26,8,-1.5,-1.785208744,-1.733427188,-1.615131827,-1.873981642
5.27,8,-1.5,-1.784506935,-1.732948868,-1.614346955,-1.872981719
5.28,8,-1.5,-1.783806374,-1.732471527,-1.613564105,-1.87198401
5.29,8,-1.5,-1.783107056,-1.731995161,-1.61278327,-1.870988509
5.3,8,-1.5,-1.782408979,-1.731519766,-1.612004442,-1.869995212
5.31,8,-1.5,-1.781712137,-1.73104534,-1.611227613,-1.869004114
5.32,8,-1.5,-1.781016528,-1.730571878,-1.610452776,-1.868015208
5.33,8,-1.5,-1.780322149,-1.730099378,-1.609679924,-1.867028492
5.34,8,-1.5,-1.779628995,-1.729627836,-1.608909048,-1.866042501
5.35,8,-1.5,-1.778937064,-1.729157249,-1.60814014,-1.865058328
5.36,8,-1.5,-1.778246352,-1.728687613,-1.607373197,-1.864076275
5.37,8,-1.5,-1.777556854,-1.728218926,-1.606608207,-1.863096336
5.38,8,-1.5,-1.776868569,-1.727751183,-1.605845164,-1.862118504
5.39,8,-1.5,-1.776181493,-1.727284381,-1.605084061,-1.861142774
5.4,8,-1.5,-1.775495621,-1.726818517,-1.604324891,-1.860169139
5.41,8,-1.5,-1.774810951,-1.726353589,-1.603567646,-1.859197593
5.42,8,-1.5,-1.77412748,-1.725889591,-1.602812319,-1.85822813
5.43,8,-1.5,-1.773445203,-1.725426522,-1.602058904,-1.857260745
5.44,8,-1.5,-1.772764118,-1.724964377,-1.601307392,-1.856295431
5.45,8,-1.5,-1.772084221,-1.724503154,-1.600557777,-1.855332182
