L,alfa,grilla,MV,alfa.GA,alfa.LN,alfa.LC,,
3,-3,1.5201,-6.420964081,-4.322220917,-3.104797184,-6.288522382,,
3,-3,1.5301,-6.404253019,-4.317884151,-3.048339425,-6.275785092,,
3,-3,1.5401,-6.387459828,-4.313489404,-3.047141782,-6.263019416,,
3,-3,1.5501,-6.370590146,-4.309038228,-3.045933671,-6.250227457,,
3,-3,1.5601,-6.35364942,-4.304532149,-3.044714599,-6.23741126,,
3,-3,1.5701,-6.336642891,-4.299972668,-3.043487688,-6.224572821,,
3,-3,1.5801,-6.319575677,-4.295361264,-3.04225211,-6.211714081,,
3,-3,1.5901,-6.302452856,-4.290699393,-3.041008087,-6.198836931,,
3,-3,1.6001,-6.285279544,-4.285988483,-3.039755832,-6.185943212,,
3,-3,1.6101,-6.268060729,-4.281222511,-3.038495553,-6.173034719,,
3,-3,1.6201,-6.250800785,-4.276418386,-3.037227452,-6.160113196,,
3,-3,1.6301,-6.233509721,-4.271569323,-3.035951723,-6.147180343,,
3,-3,1.6401,-6.216184682,-4.266676663,-3.034670859,-6.134237814,,
3,-3,1.6501,-6.198833099,-4.261741726,-3.033380633,-6.121287218,,
3,-3,1.6601,-6.18145934,-4.256765808,-3.032083305,-6.108330121,,
3,-3,1.6701,-6.164067659,-4.25175018,-3.030779048,-6.095368048,,
3,-3,1.6801,-6.146662192,-4.246696096,-3.02946803,-6.08240248,,
3,-3,1.6901,-6.129246958,-4.241604783,-3.028150419,-6.06943486,,
3,-3,1.7001,-6.111825868,-4.236477448,-3.026826379,-6.056466589,,
3,-3,1.7101,-6.094402717,-4.231315278,-3.025493494,-6.043499032,,
3,-3,1.7201,-6.076981197,-4.226119436,-3.024156731,-6.030533515,,
3,-3,1.7301,-6.059564879,-4.220891067,-3.022815731,-6.017571326,,
3,-3,1.7401,-6.042157235,-4.215631292,-3.021468028,-6.004613719,,
3,-3,1.7501,-6.024761627,-4.210341214,-3.02011472,-5.991661911,,
3,-3,1.7601,-6.007367916,-4.205021916,-3.018755926,-5.978721871,,
3,-3,1.7701,-5.990005839,-4.19967446,-3.017391743,-5.96579153,,
3,-3,1.7801,-5.972665317,-4.194299888,-3.016022257,-5.95286979,,
3,-3,1.7901,-5.955349297,-4.188899225,-3.014647565,-5.939957773,,
3,-3,1.8001,-5.938060639,-4.183473475,-3.013267867,-5.927006568,,
3,-3,1.8101,-5.920802094,-4.178023625,-3.011883669,-5.914117236,,
3,-3,1.8201,-5.903576327,-4.172550641,-3.010496196,-5.901240807,,
3,-3,1.8301,-5.886385903,-4.167055475,-3.009101731,-5.888378282,,
3,-3,1.8401,-5.869233294,-4.161539057,-3.007704096,-5.875530633,,
3,-3,1.8501,-5.852120879,-4.156002302,-3.006302121,-5.862698805,,
3,-3,1.8601,-5.835050952,-4.150446108,-3.004895826,-5.849883715,,
3,-3,1.8701,-5.81802572,-4.144871354,-3.003485168,-5.837086252,,
3,-3,1.8801,-5.801047298,-4.139278905,-3.002070927,-5.824307278,,
3,-3,1.8901,-5.784117723,-4.133669607,-3.000653452,-5.81154763,,
3,-3,1.9001,-5.767238948,-4.128038716,-2.999232151,-5.798808118,,
3,-3,1.9101,-5.750412844,-4.122398689,-2.997807101,-5.786089527,,
3,-3,1.9201,-5.733641203,-4.116744218,-2.996378426,-5.773392616,,
3,-3,1.9301,-5.716925744,-4.111076092,-2.994946263,-5.760718119,,
3,-3,1.9401,-5.700268105,-4.105395083,-2.993510745,-5.748066748,,
3,-3,1.9501,-5.683669857,-4.099701942,-2.992072061,-5.735439187,,
3,-3,1.9601,-5.667132495,-4.093997413,-2.942086885,-5.722836099,,
3,-3,1.9701,-5.650657445,-4.088282223,-2.940752204,-5.710258121,,
3,-3,1.9801,-5.634246068,-4.082557084,-2.939414306,-5.697705869,,
3,-3,1.9901,-5.617899651,-4.076822693,-2.938086177,-5.685179933,,
3,-3,2.0001,-5.601619425,-4.071079734,-2.936730729,-5.672688715,,
3,-3,2.0101,-5.585406556,-4.065328876,-2.935385129,-5.660215917,,
3,-3,2.0201,-5.569262144,-4.059570776,-2.934036281,-5.64776582,,
3,-3,2.0301,-5.553187233,-4.053806077,-2.932683686,-5.635351448,,
3,-3,2.0401,-5.53718281,-4.048035406,-2.931329909,-5.622967081,,
3,-3,2.0501,-5.521249804,-4.042259381,-2.929973753,-5.61061365,,
3,-3,2.0601,-5.505389092,-4.04769994,-2.928620663,-5.598292087,,
3,-3,2.0701,-5.489601493,-4.041746891,-2.927254189,-5.586003329,,
3,-3,2.0801,-5.473887779,-4.03579177,-2.925891328,-5.57371715,,
3,-3,2.0901,-5.458248669,-4.029835139,-2.924526365,-5.561481962,,
3,-3,2.1001,-5.442684835,-4.02387755,-2.923159364,-5.549278125,,
3,-3,2.1101,-5.427196903,-4.017919538,-2.921790388,-5.537105968,,
3,-3,2.1201,-5.411785451,-4.011961631,-2.9204195,-5.524965797,,
3,-3,2.1301,-5.396451013,-4.00600434,-2.91904676,-5.512857898,,
3,-3,2.1401,-5.381194084,-4.000048165,-2.917672229,-5.500782535,,
3,-3,2.1501,-5.366015114,-3.994093595,-2.91629624,-5.488739953,,
3,-3,2.1601,-5.350914513,-3.988141107,-2.91491828,-5.476730373,,
3,-3,2.1701,-5.335892655,-3.982191164,-2.9135387,-5.464753997,,
3,-3,2.1801,-5.320949874,-3.97624422,-2.912157556,-5.452811006,,
3,-3,2.1901,-5.306086468,-3.970300715,-2.910774903,-5.440901557,,
3,-3,2.2001,-5.291302702,-3.96436108,-2.909390795,-5.429075789,,
3,-3,2.2101,-5.276598807,-3.958425733,-2.908005284,-5.417233818,,
3,-3,2.2201,-5.26197498,-3.952495082,-2.906618422,-5.40542574,,
3,-3,2.2301,-5.247431386,-3.946569524,-2.905230259,-5.393658372,,
3,-3,2.2401,-5.232968164,-3.940649443,-2.903840846,-5.381929863,,
3,-3,2.2501,-5.21858542,-3.934735216,-2.90245023,-5.370237169,,
3,-3,2.2601,-5.204283232,-3.928827207,-2.901058461,-5.358580486,,
3,-3,2.2701,-5.190061655,-3.92292584,-2.899665573,-5.346960004,,
3,-3,2.2801,-5.175920711,-3.917031248,-2.898271639,-5.335375901,,
3,-3,2.2901,-5.161860405,-3.911143975,-2.89687669,-5.323828346,,
3,-3,2.3001,-5.147880713,-3.905264277,-2.895481849,-5.312317503,,
3,-3,2.3101,-5.133981588,-3.899392466,-2.894085077,-5.300843525,,
3,-3,2.3201,-5.120162963,-3.895466437,-2.892687417,-5.289406558,,
3,-3,2.3301,-5.106424749,-3.887673715,-2.891287617,-5.278006742,,
3,-3,2.3401,-5.092766836,-3.881827355,-2.889888242,-5.266644208,,
3,-3,2.3501,-5.079189095,-3.875990045,-2.888488109,-5.255319083,,
3,-3,2.3601,-5.065691376,-3.870162051,-2.887087256,-5.244031485,,
3,-3,2.3701,-5.052274064,-3.864343632,-2.885686107,-5.232781528,,
3,-3,2.3801,-5.038935881,-3.858535039,-2.884283713,-5.221569318,,
3,-3,2.3901,-5.025677173,-3.852736512,-2.88288083,-5.210394959,,
3,-3,2.4001,-5.012497725,-3.846948285,-2.881477443,-5.199258547,,
3,-3,2.4101,-4.999397305,-3.841170584,-2.880073555,-5.188160176,,
3,-3,2.4201,-4.98637567,-3.835403624,-2.878669394,-5.177099933,,
3,-3,2.4301,-4.973432562,-3.829647616,-2.877264369,-5.166077904,,
3,-3,2.4401,-4.960567708,-3.823902762,-2.875856978,-5.155094169,,
3,-3,2.4501,-4.947780826,-3.818169255,-2.832514253,-5.144148807,,
3,-3,2.4601,-4.935071621,-3.812447283,-2.831207632,-5.133241893,,
3,-3,2.4701,-4.922439786,-3.806737026,-2.829899304,-5.1223735,,
3,-3,2.4801,-4.909885003,-3.801038658,-2.828593251,-5.111493698,,
3,-3,2.4901,-4.897406946,-3.795356719,-2.827285636,-5.100702559,,
3,-3,2.5001,-4.885005277,-3.789682129,-2.825978111,-5.08995015,,
3,-3,2.5101,-4.872679651,-3.78398364,-2.824404721,-5.079236539,,
3,-3,2.5201,-4.860429713,-3.777420911,-2.856825544,-5.068561795,,
3,-3,2.5301,-4.848255101,-3.770897664,-2.847977102,-5.057922716,,
3,-3,2.5401,-4.836155445,-3.764417028,-2.839203391,-5.047318597,,
3,-3,2.5501,-4.824130366,-3.75797865,-2.830503537,-5.036752697,,
3,-3,2.5601,-4.812179483,-3.751582674,-2.821876662,-5.026225007,,
3,-3,2.5701,-4.800302403,-3.745227268,-2.81332189,-5.01573551,,
3,-3,2.5801,-4.788498731,-3.74355821,-2.80483836,-5.005284187,,
3,-3,2.5901,-4.776768064,-3.737159799,-2.837832481,-4.994871015,,
3,-3,2.6001,-4.765109996,-3.73080284,-2.829349278,-4.984495966,,
3,-3,2.6101,-4.753524115,-3.724486983,-2.820936357,-4.97415901,,
3,-3,2.6201,-4.742010005,-3.718211884,-2.812593881,-4.963860112,,
3,-3,2.6301,-4.730567245,-3.711977202,-2.804322385,-4.953599234,,
3,-3,2.6401,-4.719195411,-3.705782597,-2.796103257,-4.943376335,,
3,-3,2.6501,-4.707894075,-3.699627734,-2.829757339,-4.933191369,,
