L;n;alfa.MV;alfa.GA;alfa.LN;alfa.LC
3.21;9;-20;-9.331950777;-4.496812749;-4.74055259
3.21;9;-5.833513154;-1.909965236;-1.933421446;-20
3.21;9;-20;-10.18614473;-5.156552227;-20
3.21;9;-20;-20;-7.918800505;-20
3.21;9;-20;-7.745644066;-2.278017644;-16.27601548
3.21;9;-20;-5.88212408;-1.650464694;-17.16100048
3.21;9;-20;-20;-3.084438752;-20
3.21;9;-20;-3.95436358;-4.830462382;-7.017777248
3.21;9;-20;-4.729074674;-20;-20
3.21;9;-20;-4.712138307;-15.0677944;-20
3.21;9;-20;-20;-2.362323462;-20
3.21;9;-20;-20;-17.21721297;-6.707234391
3.21;9;-20;-8.87141505;-20;-3.002225033
3.21;9;-20;-8.315988087;-20;-3.69063547
3.21;9;-20;-2.983948933;-4.598767296;-20
3.21;9;-6.506480984;-4.619252759;-3.276249561;-20
3.21;9;-20;-5.070554023;-2.144798692;-6.857864557
3.21;9;-16.93985349;-5.27514816;-2.643656182;-3.343220491
3.21;9;-20;-20;-9.43289195;-20
3.21;9;-20;-13.66616317;-2.435256148;-9.444666855
3.21;9;-20;-3.635634805;-7.454209159;-20
3.21;9;-20;-2.034707554;-1.545588949;-20
3.21;9;-15.75774266;-9.863134332;-20;-20
3.21;9;-8.352889372;-4.322475314;-4.082504581;-4.172122084
3.21;9;-20;-3.105458676;-2.052744035;-20
3.21;9;-9.429319015;-3.735054213;-2.403410204;-5.633031186
3.21;9;-14.54229435;-5.259040918;-1.789378883;-20
3.21;9;-3.478799237;-3.868128307;-2.669727749;-3.832722478
3.21;9;-20;-2.051312456;-20;-20
3.21;9;-20;-1.882861562;-2.471955732;-20
3.21;9;-6.620368248;-8.000438625;-2.223556737;-16.32106483
3.21;9;-12.20070745;-3.47008491;-2.597774584;-20
3.21;9;-3.581970708;-3.275329435;-1.895003245;-6.434865228
3.21;9;-5.05392285;-2.500547361;-2.346823418;-3.455499857
3.21;9;-20;-6.230454841;-4.286287432;-18.76241998
3.21;9;-20;-5.372389611;-20;-7.343805396
3.21;9;-20;-2.556553795;-20;-3.282584625
3.21;9;-20;-4.635712345;-6.250284861;-20
3.21;9;-19.65245685;-4.264533459;-2.23220039;-20
3.21;9;-5.456460719;-20;-2.084615668;-20
3.21;9;-11.00294683;-4.819880539;-3.797383196;-2.856334268
3.21;9;-12.05550177;-5.380246341;-20;-20
3.21;9;-20;-20;-1.869546528;-20
3.21;9;-6.218186653;-20;-4.946806934;-2.394971501
3.21;9;-20;-2.474051046;-7.187839097;-20
3.21;9;-6.355657474;-7.73532146;-20;-3.18158528
3.21;9;-20;-2.719193148;-6.393839018;-20
3.21;9;-5.463767697;-20;-3.732487789;-4.073983905
3.21;9;-6.146238081;-5.93128836;-20;-2.262597785
3.21;9;-20;-6.445004121;-3.532631858;-20
3.21;9;-7.412745655;-4.592472604;-5.424196487;-20
3.21;9;-2.703049153;-20;-9.111723663;-1.776212632
3.21;9;-20;-3.589963283;-1.559372958;-20
3.21;9;-20;-3.157132301;-20;-3.9764726
3.21;9;-20;-2.64139986;-3.977486966;-20
3.21;9;-20;-20;-2.614275952;-13.20388062
3.21;9;-20;-4.475551625;-20;-3.050530669
3.21;9;-5.164397679;-20;-2.022387662;-4.050139174
3.21;9;-7.852494522;-3.591031157;-3.745550556;-20
3.21;9;-20;-20;-20;-4.568948117
3.21;9;-20;-12.09688791;-9.645829146;-10.24628815
3.21;9;-20;-4.20430568;-2.423610879;-20
3.21;9;-20;-7.996693855;-5.16497667;-17.81413022
3.21;9;-20;-7.067683236;-4.502589566;-7.233937772
3.21;9;-20;-5.42737803;-20;-12.30293712
3.21;9;-20;-4.051016303;-20;-20
3.21;9;-20;-5.062583005;-3.075775694;-20
3.21;9;-20;-4.015642953;-20;-4.571338833
3.21;9;-20;-3.680056861;-1.567330773;-20
3.21;9;-20;-20;-4.566252831;-20
3.21;9;-20;-1.835081456;-2.981555581;-7.932017627
3.21;9;-9.114433895;-4.055783444;-4.224986272;-20
3.21;9;-10.27615244;-4.838022229;-2.435251861;-20
3.21;9;-7.933888087;-2.766406082;-2.634647244;-3.131479757
3.21;9;-20;-1.820009618;-3.442107448;-10.86830051
3.21;9;-20;-7.658994224;-2.258839246;-20
3.21;9;-20;-20;-2.138217339;-6.40756738
3.21;9;-6.622840273;-3.942987279;-5.69787351;-20
3.21;9;-4.402230481;-2.64031534;-6.014032569;-18.90858858
3.21;9;-5.186738615;-2.799655703;-2.220759407;-20
3.21;9;-20;-3.332312053;-1.669472423;-20
3.21;9;-6.19433953;-2.514621494;-20;-2.240603935
3.21;9;-3.520673033;-6.048808219;-3.468089078;-2.679198394
3.21;9;-2.359758232;-4.798884562;-2.667183511;-5.278416562
3.21;9;-5.243203407;-3.853013677;-20;-3.168395616
3.21;9;-3.9470375;-3.808496706;-2.094074553;-2.306405765
3.21;9;-2.880586464;-2.276699008;-20;-2.313192921
3.21;9;-20;-20;-3.453565699;-3.609478503
3.21;9;-8.945838395;-4.504458225;-2.075196144;-3.290858058
3.21;9;-9.816533416;-20;-20;-20
3.21;9;-20;-3.039833194;-6.559802338;-20
3.21;9;-13.05430401;-3.978348878;-3.506036065;-3.357542866
3.21;9;-20;-7.942456017;-4.279380829;-3.045760843
3.21;9;-20;-3.53429003;-2.266503846;-20
3.21;9;-20;-20;-4.835551154;-20
3.21;9;-11.67126783;-20;-4.783814955;-20
3.21;9;-11.84830309;-5.255896518;-12.53449717;-20
3.21;9;-20;-20;-11.79994018;-20
3.21;9;-20;-3.712614505;-4.168957124;-20
3.21;9;-20;-9.314855351;-20;-4.54218385
3.21;9;-20;-4.919207948;-4.542372096;-20
3.21;9;-14.2844777;-4.33178785;-20;-20
3.21;9;-20;-7.888723161;-4.604603651;-20
3.21;9;-20;-20;-4.319698161;-20
3.21;9;-20;-20;-2.625628376;-20
3.21;9;-20;-20;-9.807193438;-3.0399289
3.21;9;-11.781631;-4.031938268;-4.408762728;-3.080756319
3.21;9;-20;-3.590127222;-6.273648444;-4.772960576
3.21;9;-20;-2.520061918;-2.113526473;-20
3.21;9;-20;-4.863995448;-4.339248587;-20
3.21;9;-20;-6.138175358;-20;-20
3.21;9;-12.2387608;-6.203453663;-2.89746521;-3.183906705
3.21;9;-4.367846552;-16.0244693;-20;-2.385760968
3.21;9;-3.596206334;-5.050981101;-14.16177449;-1.98301481
3.21;9;-11.93525901;-6.003604157;-20;-2.676115815
3.21;9;-8.054288377;-4.191691338;-2.33926727;-2.370230658
3.21;9;-15.98329948;-6.205702298;-2.254108995;-3.743077774
3.21;9;-3.336863867;-1.989751548;-6.019725575;-2.355324082
3.21;9;-20;-3.116155926;-2.248698851;-20
3.21;9;-19.41599472;-20;-3.591476963;-20
3.21;9;-20;-3.088361729;-3.419167241;-3.661981754
3.21;9;-5.164589044;-2.551640442;-16.9221058;-3.027573069
3.21;9;-20;-4.229707954;-2.801895983;-6.316462841
3.21;9;-20;-8.758818324;-4.067099107;-20
3.21;9;-20;-10.93062663;-6.835868677;-20
3.21;9;-11.3338671;-5.8714144;-1.734513999;-7.074863021
3.21;9;-3.15946015;-1.528345071;-1.62814038;-2.284696446
3.21;9;-20;-2.713043232;-1.867925885;-5.492582684
3.21;9;-14.53875267;-1.536636671;-2.097947112;-20
3.21;9;-20;-4.602541239;-20;-3.913834475
3.21;9;-20;-3.455780887;-4.040113795;-20
3.21;9;-2.204118672;-20;-20;-1.863284957
3.21;9;-20;-16.80858202;-5.131706376;-20
3.21;9;-20;-3.041594174;-1.837365092;-20
3.21;9;-20;-18.36298749;-3.751897328;-20
3.21;9;-12.58211267;-20;-15.8542598;-20
3.21;9;-20;-20;-20;-3.921126545
3.21;9;-20;-4.537454028;-3.280765795;-20
3.21;9;-3.253603435;-3.402734465;-1.630125162;-20
3.21;9;-20;-14.30447747;-9.41312969;-20
3.21;9;-20;-5.062234739;-3.5612129;-20
3.21;9;-20;-2.856415554;-2.148909971;-2.724065951
3.21;9;-20;-4.845953304;-2.726793453;-20
3.21;9;-3.489190317;-8.568678826;-4.281231406;-1.954018186
3.21;9;-20;-2.250029222;-1.793888507;-20
3.21;9;-20;-20;-5.465858262;-20
3.21;9;-9.524372518;-4.198643507;-3.029604374;-3.769724776
3.21;9;-20;-5.265565569;-2.957373023;-4.636704552
3.21;9;-20;-9.19046017;-20;-20
3.21;9;-4.287912877;-20;-20;-2.519893937
3.21;9;-20;-4.41853777;-10.20516206;-20
3.21;9;-13.45597883;-4.665196318;-2.432346332;-20
3.21;9;-20;-5.987848195;-7.835957089;-4.18972555
3.21;9;-20;-5.330488161;-4.102106638;-20
3.21;9;-20;-4.283465835;-3.407031791;-20
3.21;9;-4.094010644;-2.124663819;-2.771595185;-4.553412455
3.21;9;-2.483479442;-20;-3.275887948;-1.87032175
3.21;9;-2.946861618;-4.054518358;-2.105197818;-2.042060817
3.21;9;-20;-3.462224994;-2.23079856;-20
3.21;9;-20;-5.126051577;-20;-5.710964201
