grilla,L,alfa,MV,alfa.GA,alfa.LN,alfa.LC
4.1201,8,-8,-6.227022744,-3.850913442,-4.108888707,-5.90880617
4.1301,8,-8,-6.215209333,-3.844623188,-4.099102331,-5.894214709
4.1401,8,-8,-6.203458992,-3.838366971,-4.08936773,-5.879701538
4.1501,8,-8,-6.191776166,-3.832144481,-4.0796845,-5.865266134
4.1601,8,-8,-6.180149649,-3.825955409,-4.07005224,-5.850907974
4.1701,8,-8,-6.16858465,-3.819799451,-4.060470554,-5.836626541
4.1801,8,-8,-6.157080637,-3.813676308,-4.181009928,-5.822421319
4.1901,8,-8,-6.145632405,-3.807585683,-4.171322223,-5.808291794
4.2001,8,-8,-6.13424965,-3.801527283,-4.161683965,-5.794237455
4.2101,8,-8,-6.122926183,-3.795503204,-4.152094775,-5.780257792
4.2201,8,-8,-6.111661513,-3.789508087,-4.14255428,-5.766352297
4.2301,8,-8,-6.100455148,-3.783544375,-4.133062113,-5.752520463
4.2401,8,-8,-6.089306603,-3.777611784,-4.123617907,-5.738761784
4.2501,8,-8,-6.078215395,-3.771710042,-4.114221304,-5.725075754
4.2601,8,-8,-6.067181052,-3.899739725,-4.104871947,-5.711461868
4.2701,8,-8,-6.056203097,-3.893587651,-4.095569486,-5.697919622
4.2801,8,-8,-6.04531167,-3.887465988,-4.086313572,-5.684448511
4.2901,8,-8,-6.034444697,-3.881374449,-4.077103862,-5.671052408
4.3001,8,-8,-6.023632721,-3.87531275,-4.067940016,-5.657731006
4.3101,8,-8,-6.012875283,-3.869280615,-4.0588217,-5.644457296
4.3201,8,-8,-6.002171935,-3.863282775,-4.049748581,-5.631266845
4.3301,8,-8,-5.991522227,-3.857310416,-4.040720331,-5.61814637
4.3401,8,-8,-5.980925721,-3.851367054,-4.031736626,-5.60509592
4.3501,8,-8,-5.970381979,-3.845452442,-4.022797146,-5.592115566
4.3601,8,-8,-5.959890571,-3.839566334,-4.013901573,-5.579179636
4.3701,8,-8,-5.949451071,-3.833708487,-4.005049593,-5.566325872
4.3801,8,-8,-5.939063056,-3.827878664,-3.996240898,-5.553538134
4.3901,8,-8,-5.928726109,-3.822076629,-4.119348939,-5.540815899
4.4001,8,-8,-5.918439819,-3.816302146,-4.110431572,-5.528158643
4.4101,8,-8,-5.908203775,-3.810554987,-4.101556494,-5.515565836
4.4201,8,-8,-5.898017576,-3.804834924,-4.09272341,-5.503036947
4.4301,8,-8,-5.887880821,-3.799141731,-4.08393203,-5.490571439
4.4401,8,-8,-5.877793118,-3.793475186,-4.075182063,-5.478168773
4.4501,8,-8,-5.867754074,-3.78783507,-4.066473226,-5.465828404
4.4601,8,-8,-5.857763302,-3.782221165,-4.057805235,-5.453549782
4.4701,8,-8,-5.847820421,-3.776633257,-4.049177812,-5.441332354
4.4801,8,-8,-5.837925052,-3.771071134,-4.04059068,-5.42922556
4.4901,8,-8,-5.828076822,-3.765534587,-4.032043566,-5.417128835
4.5001,8,-8,-5.818275362,-3.760023408,-4.023536199,-5.405091609
4.5101,8,-8,-5.808520301,-3.754537393,-4.015068313,-5.393120541
4.5201,8,-8,-5.798811283,-3.74907634,-4.006639643,-5.381212429
4.5301,8,-8,-5.789147944,-3.743640048,-3.998249926,-5.369363869
4.5401,8,-8,-5.779529932,-3.738228321,-3.989898904,-5.357574452
4.5501,8,-8,-5.769956895,-3.732842747,-3.98158632,-5.345843772
4.5601,8,-8,-5.760428486,-3.727479211,-3.973311921,-5.334171426
4.5701,8,-8,-5.750944361,-3.722140116,-3.965075455,-5.322557016
4.5801,8,-8,-5.741504179,-3.716824686,-3.956876739,-5.311000149
4.5901,8,-8,-5.732107604,-3.711533341,-3.948715394,-5.299500435
4.6001,8,-8,-5.722754304,-3.7062651,-3.940591245,-5.288057489
4.6101,8,-8,-5.713443945,-3.701019304,-3.932504049,-5.276670931
4.6201,8,-8,-5.704176204,-3.695795155,-3.924453568,-5.265340384
4.6301,8,-8,-5.694950756,-3.690592105,-3.916439566,-5.254065475
4.6401,8,-8,-5.685767282,-3.685409777,-4.042038864,-5.242845839
4.6501,8,-8,-5.676625465,-3.680270051,-4.033911144,-5.231681112
4.6601,8,-8,-5.66752499,-3.675138886,-4.025819061,-5.220570936
4.6701,8,-8,-5.658465549,-3.670029947,-4.017762392,-5.209514958
4.6801,8,-8,-5.649446831,-3.664943068,-4.009740914,-5.19851283
4.6901,8,-8,-5.640468535,-3.659878085,-4.001754408,-5.187564209
4.7001,8,-8,-5.63153036,-3.654835169,-3.993802656,-5.176668756
4.7101,8,-8,-5.622632005,-3.649813155,-3.985885445,-5.16582614
4.7201,8,-8,-5.613773176,-3.644812889,-3.978002559,-5.155036032
4.7301,8,-8,-5.604953581,-3.639833878,-3.970153789,-5.14429811
4.7401,8,-8,-5.59617293,-3.634875966,-3.962338925,-5.133612058
4.7501,8,-8,-5.587430937,-3.629938999,-3.95455776,-5.122977567
4.7601,8,-8,-5.578727316,-3.625022823,-3.946810089,-5.11234433
4.7701,8,-8,-5.570061788,-3.620127287,-3.93909571,-5.10181205
4.7801,8,-8,-5.561434075,-3.615252242,-3.931414419,-5.091330435
4.7901,8,-8,-5.552843897,-3.610397539,-3.923766019,-5.0808992
4.8001,8,-8,-5.544290989,-3.605563032,-3.916150312,-5.070518064
4.8101,8,-8,-5.535775073,-3.600748574,-3.908567102,-5.060184943
4.8201,8,-8,-5.527295885,-3.595954022,-3.901016195,-5.049896289
4.8301,8,-8,-5.51885316,-3.591179235,-3.893497398,-5.039656167
4.8401,8,-8,-5.510446633,-3.586424071,-3.886010523,-5.029464256
4.8501,8,-8,-5.502076047,-3.581687089,-3.878555379,-5.019320239
4.8601,8,-8,-5.493741142,-3.576970646,-3.87113178,-5.009223799
4.8701,8,-8,-5.485441665,-3.572273414,-3.86373954,-4.999174625
