L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
8,-1.5,9,-1.343586047,-1.216622518,-1.327771571,-1.510576133,14.54,0.725,0,0.019328563,0.115971375
8,-1.5,9,-2.34209121,-1.778859187,-2.107049365,-1.586680202,1.65,0.695,0,0.142211393,0.323207712
8,-1.5,9,-2.769444856,-2.213508828,-2.485597398,-1.785342186,1.39,0.517,0,0.171774371,0.363998072
8,-1.5,9,-1.376555024,-1.346418359,-1.928395465,-1.540119234,2.6,0.593,0,0.021178587,0.211785873
8,-1.5,9,-1.327833929,-1.272846759,-1.259856596,-1.261239542,2.26,0.562,0,0.110442668,0.662656009
8,-1.5,9,-1.466149583,-1.37524871,-1.399373458,-1.328353509,1.87,1.042,0,0.110779116,0.461579651
8,-1.5,9,-1.472475615,-1.430233007,-1.512076796,-1.378281401,2.54,0.842,0,0.008225843,0.172742694
8,-1.5,9,-1.756665732,-1.69886669,-1.543339968,-8.051391564,1.15,0.41,0,0.197973558,0.725903047
8,-1.5,9,-1.275192392,-4.129980851,-3.767655916,-1.427102418,3.15,0.836,0,0.012677425,0.278903343
8,-1.5,9,-1.38854944,-1.314179222,-1.309201716,-1.35875011,4.2,0.398,0,0.10347267,0.620836022
8,-1.5,9,-1.490309034,-1.811297465,-1.512939415,0,1.72,0.304,0,0.39761474,0.927767727
8,-1.5,9,-1.356701784,-1.241672513,-1.279052403,-1.73533584,4.34,0.675,0,0.075491233,0.60392986
8,-1.5,9,-1.535620666,-1.512525171,-1.549493839,-1.311440494,2.06,0.879,0,0.007991262,0.171812133
8,-1.5,9,-1.228495999,-1.241469305,-1.203344745,-1.365497912,4.53,0.431,0,0.072238275,0.794621029
8,-1.5,9,-2.095071483,-1.797612505,-1.733058182,-2.338418627,2.17,0.782,0,0.077018077,0.712417213
8,-1.5,9,-1.432383603,-1.390493834,-1.433395172,-1.260219749,2.74,1.521,0,0.002940519,0.099977634
8,-1.5,9,-2.170359164,-2.157439525,-1.860827952,0,1.54,0.477,0,0.424265438,0.707109063
8,-1.5,9,-1.374058162,-1.354445196,-1.388111188,-1.244838004,2.75,1.04,0,0.007066097,0.176652424
8,-1.5,9,-1.37650886,-1.27598856,-1.333814693,-1.324303257,1.69,0.609,0,0.035355971,0.417200463
8,-1.5,9,-1.437412536,-1.666744008,-1.370716024,-1.484405856,1.06,0.503,0,0.297308136,0.829333221
8,-1.5,9,-1.506905448,-1.397242817,-1.427923798,-1.328021744,2.11,1.313,0,0.13643889,0.470478932
8,-1.5,9,-1.235843353,-1.583982983,-1.408865495,-1.265088968,2.96,0.596,0,0.319696708,0.484388952
8,-1.5,9,-1.446870842,-1.551864618,-1.358350759,-1.433761183,1.31,1.12,0,0.219160924,0.777025096
8,-1.5,9,-1.513508821,-1.372169557,-1.428571669,-1.318869431,2.5,1.027,0,0.064498124,0.496139417
8,-1.5,9,-1.360026348,-1.295042119,-1.288061418,-1.272870311,2.09,0.614,0,0.019676341,0.616525342
