L,grilla,alfa,MV,alfa.GA,alfa.LN,alfa.LC
3,2.9601,-5,-7.572055395,-4.51360323,-4.061134339,-7.844430465
3,2.9701,-5,-7.538637934,-4.502048453,-4.054532205,-7.816485842
3,2.9801,-5,-7.505759597,-4.490591167,-4.058781668,-7.788735885
3,2.9901,-5,-7.472995436,-4.479226036,-4.052130577,-7.761178884
3,3.0001,-5,-7.440709542,-4.467964097,-4.045530037,-7.733813143
3,3.0101,-5,-7.408774044,-4.456993708,-4.038979577,-7.70663698
3,3.0201,-5,-7.377182749,-4.44571456,-4.03248216,-7.679648729
3,3.0301,-5,-7.345930042,-4.434728531,-4.026028306,-7.652846741
3,3.0401,-5,-7.315010628,-4.42383366,-4.019624366,-7.626229379
3,3.0501,-5,-7.284420037,-4.413029047,-4.013269329,-7.599795023
3,3.0601,-5,-7.254155054,-4.402313823,-4.006956661,-7.573542066
3,3.0701,-5,-7.224213731,-4.391691848,-4.010722872,-7.547468918
3,3.0801,-5,-7.194594238,-4.381148564,-4.004368281,-7.521574002
3,3.0901,-5,-7.165291945,-4.404515209,-3.99806343,-7.495855757
3,3.1001,-5,-7.136319124,-4.393812733,-3.991813992,-7.470312634
3,3.1101,-5,-7.107631744,-4.38319927,-3.985587817,-7.444943102
3,3.1201,-5,-7.079243712,-4.372675349,-3.979420827,-7.419745642
3,3.1301,-5,-7.051147528,-4.362277771,-3.973299606,-7.394718748
3,3.1401,-5,-7.023337016,-4.351879712,-3.967223607,-7.369860932
3,3.1501,-5,-6.995796483,-4.341610426,-3.961192225,-7.345170717
3,3.1601,-5,-6.968535409,-4.331424966,-3.964479555,-7.32064664
3,3.1701,-5,-6.941550711,-4.321322473,-3.958403776,-7.296287253
3,3.1801,-5,-6.914838421,-4.311302094,-3.952370281,-7.272091253
3,3.1901,-5,-6.888394632,-4.301362984,-3.946381323,-7.248056949
3,3.2001,-5,-6.862215504,-4.291504308,-3.940436467,-7.224183073
3,3.2101,-5,-6.836297266,-4.281725238,-3.934535537,-7.200468229
3,3.2201,-5,-6.810636212,-4.272024951,-3.928677428,-7.176911038
3,3.2301,-5,-6.785228695,-4.262402631,-3.922862428,-7.153510133
3,3.2401,-5,-6.760071133,-4.252857468,-3.917089892,-7.130264157
3,3.2501,-5,-6.735160007,-4.274825304,-3.911359408,-7.107171772
3,3.2601,-5,-6.710491852,-4.265128574,-3.914103172,-7.084231647
3,3.2701,-5,-6.686063264,-4.25503909,-3.90832774,-7.061442467
3,3.2801,-5,-6.661870901,-4.245968094,-3.902592362,-7.038802929
3,3.2901,-5,-6.637911473,-4.23650772,-3.896898756,-7.016311743
3,3.3001,-5,-6.614181748,-4.227118943,-3.891246561,-6.993967631
3,3.3101,-5,-6.590678546,-4.217805298,-3.885635419,-6.971769327
3,3.3201,-5,-6.567398741,-4.208565816,-3.880064974,-6.949715579
3,3.3301,-5,-6.544339259,-4.199399752,-3.874534876,-6.927805144
3,3.3401,-5,-6.521497085,-4.190306365,-3.869044776,-6.906036793
3,3.3501,-5,-6.498869238,-4.181284925,-3.863594603,-6.884409311
3,3.3601,-5,-6.47645281,-4.172334709,-3.865819562,-6.86292149
3,3.3701,-5,-6.45424492,-4.163455001,-3.860321786,-6.841572138
3,3.3801,-5,-6.432177938,-4.154645093,-3.854863586,-6.820360073
3,3.3901,-5,-6.410380074,-4.14590509,-3.849449038,-6.799284124
3,3.4001,-5,-6.388782414,-4.137232592,-3.844063698,-6.778341855
3,3.4101,-5,-6.367382271,-4.128627951,-3.838722916,-6.757531423
3,3.4201,-5,-6.346177003,-4.120090142,-3.833424409,-6.736853807
3,3.4301,-5,-6.325164003,-4.140704702,-3.828155215,-6.716307881
3,3.4401,-5,-6.304340722,-4.132025134,-3.822926924,-6.695892529
3,3.4501,-5,-6.283704641,-4.123415584,-3.817730103,-6.675606644
3,3.4601,-5,-6.263253283,-4.114874442,-3.812582722,-6.655449134
3,3.4701,-5,-6.242984219,-4.106399659,-3.814229781,-6.635418911
3,3.4801,-5,-6.222895051,-4.097990572,-3.809029728,-6.615514903
3,3.4901,-5,-6.202983427,-4.089646521,-3.803866658,-6.595786045
3,3.5001,-5,-6.18324703,-4.081366857,-3.798740151,-6.576131283
3,3.5101,-5,-6.163683582,-4.073150934,-3.793649883,-6.556599573
3,3.5201,-5,-6.144290839,-4.064998118,-3.788595611,-6.537189882
3,3.5301,-5,-6.125066595,-4.056907777,-3.78357707,-6.517901185
3,3.5401,-5,-6.10600868,-4.048879291,-3.778593962,-6.498732468
3,3.5501,-5,-6.087114959,-4.040912042,-3.773648754,-6.479682727
3,3.5601,-5,-6.06838333,-4.033005423,-3.76873358,-6.460750967
3,3.5701,-5,-6.04981173,-4.025158831,-3.763854371,-6.441936203
3,3.5801,-5,-6.031398119,-4.017371671,-3.75899664,-6.423237459
3,3.5901,-5,-6.013140499,-4.009643353,-3.760022545,-6.40465377
3,3.6001,-5,-5.995036899,-4.001973295,-3.755138724,-6.386184178
3,3.6101,-5,-5.977085379,-3.994360921,-3.750283255,-6.367827736
3,3.6201,-5,-5.959284031,-3.986806444,-3.745465208,-6.349583505
3,3.6301,-5,-5.94163098,-3.979307624,-3.740691942,-6.331450557
3,3.6401,-5,-5.924124374,-3.998568428,-3.735917406,-6.313427971
3,3.6501,-5,-5.906762396,-3.990945137,-3.731195393,-6.295514836
3,3.6601,-5,-5.889543254,-3.983378906,-3.72650607,-6.27771025
3,3.6701,-5,-5.872465187,-3.975869164,-3.721849035,-6.26001332
3,3.6801,-5,-5.855526458,-3.968415349,-3.717223837,-6.242423161
3,3.6901,-5,-5.838725359,-3.961016904,-3.71263351,-6.224938897
3,3.7001,-5,-5.822060211,-3.95367328,-3.708073115,-6.20755966
3,3.7101,-5,-5.805529356,-3.946383932,-3.703544246,-6.190284592
3,3.7201,-5,-5.789131163,-3.939148321,-3.703896217,-6.173112843
3,3.7301,-5,-5.772864029,-3.931965916,-3.699322358,-6.15604357
