L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.MV,tiempo.BFGS.GA,tiempo.BFGS.LN,b.GA,b.LN
3,-1.5,9,-2.538199203,-2.135882636,-2.134670507,-2.023303371,0,0.72,0.92,0.217432486,0.562766434
3,-1.5,9,-1.753447612,-1.558763081,-1.634331935,-1.803807624,0,0.8,0.95,0.094145013,0.58369908
3,-1.5,9,-4.807698105,-4.26543997,-2.687163208,-18.12570712,0,1.43,1.03,0.030145338,0.70841544
3,-1.5,9,-1.484387809,-1.76120999,-1.532933303,-1.372321888,0,0.89,1.44,0.317309673,0.62217583
3,-1.5,9,-1.214126517,-1.187566654,-1.207085513,-1.154315723,0,1.44,1.25,0.112827403,0.225654807
3,-1.5,9,-1.603547402,-1.749351627,-1.443592575,-1.825512236,0,0.77,1.49,0.149372147,0.877561364
3,-1.5,9,-1.491410824,-1.410308686,-1.405903064,-1.363417478,0,0.83,1.26,0.142673245,0.675320026
3,-1.5,9,-2.54418258,-3.379760556,-1.894167842,-2.31189166,0,0.8,0.84,0.428280735,0.744836061
3,-1.5,9,-1.344783716,-1.242978826,-1.2815111,-1.672830994,0,1.27,1.12,0.12166209,0.608310451
3,-1.5,9,-1.632503399,-1.630266208,-1.729762111,-1.386134821,0.01,2.03,2.5,0.004878755,0.078060084
3,-1.5,9,-1.54787514,-1.621133471,-1.42767651,-1.690055588,0.02,4.09,1.41,0.303421883,0.872337912
3,-1.5,9,-2.262852446,-1.775631084,-2.116591284,-1.6406032,0,0.67,0.99,0.129534261,0.446669866
3,-1.5,9,-1.413220846,-1.522443456,-1.315377143,-1.692621299,0,1.31,2.03,0.177465272,0.907044724
3,-1.5,9,-2.614529623,-1.970437742,-2.80633835,-1.760894316,0,0.6,1.35,0.110854042,0.133024851
3,-1.5,9,-1.255494558,-1.301041678,-1.292225208,-1.190150224,0,0.95,1.43,0.193806854,0.265488842
3,-1.5,9,-1.54575588,-1.56356197,-1.481886979,-1.407045497,0,0.74,1.06,0.172927658,0.524023207
3,-1.5,9,-1.562388457,-1.56065863,-1.50448562,-1.380191383,0,0.98,1.12,0.242989472,0.426297319
3,-1.5,9,-1.373335544,-1.244669052,-1.345492679,-1.713426352,0,1.62,0.85,0.059968993,0.299844967
3,-1.5,9,-2.16883251,-1.682101062,-2.044151622,-1.554375835,0,1.03,1.15,0.117424241,0.266873275
3,-1.5,9,-1.301631592,-1.236112992,-1.258719884,-1.347077165,0,0.83,0.7,0.065259753,0.636282593
3,-1.5,9,-1.764151467,-1.720841189,-1.886686131,-1.607514987,0,0.9,1.06,0.010798553,0.215971064
3,-1.5,9,-1.392409357,-1.555554407,-1.31568881,-1.542099422,0,0.83,1.37,0.239802207,0.890693912
3,-1.5,9,-3.627491184,-4.351549302,-9.260277074,-2.352451182,0,1.86,2.71,0.008096343,0.097156113
3,-1.5,9,-1.946974952,-1.834522361,-1.701671163,-1.608841313,0,0.56,1.36,0.225126927,0.682202809
3,-1.5,9,-1.222798741,-1.271755927,-1.254453567,-1.184764695,0,1.87,1.25,0.134004132,0.462083213
3,-1.5,9,-1.369587691,-1.461390038,-1.334690193,-1.286115993,0,1.47,1.37,0.209526324,0.427604742
3,-1.5,9,-1.276341456,-1.380037727,-1.258359218,-1.224519245,0,0.91,1.32,0.138247538,0.314198951
3,-1.5,9,-1.460508802,-1.403259713,-1.470200588,-1.369176988,0,1.03,1.1,0.012146431,0.279367905
3,-1.5,9,-1.354187991,-1.464371078,-1.293785712,-2.282310841,0,0.54,0.74,0.280880826,1.029896364
3,-1.5,9,-2.748219304,-3.517263476,-3.993771708,-8.780854636,0,1.44,2.41,0.03414675,0.102440251
3,-1.5,9,-1.917240962,-1.818685145,-2.090801184,-1.545149442,0,1.11,1.18,0.01224705,0.195952795
3,-1.5,9,-1.377140956,-1.352033816,-1.396025996,-1.259145611,0.01,2.84,2.45,0.012567477,0.226214595
3,-1.5,9,-1.447054256,-1.854754295,-1.3992692,-2.354433298,0.02,0.74,0.91,0.444116079,1.110290199
3,-1.5,9,-1.259358382,-1.313655274,-1.282848086,-1.269557235,0,0.65,1.31,0.119992614,0.203987445
3,-1.5,9,-1.434288339,-1.700477288,-1.346657693,-1.451092611,0.01,0.62,0.78,0.209995486,0.874981193
3,-1.5,9,-1.370071123,-1.264169693,-1.343510493,-1.379714897,0,0.8,0.69,0.021486581,0.472704772
3,-1.5,9,-1.317319626,-1.245999829,-1.306756476,-1.224940565,0,1.21,2.56,0.044761899,0.248225074
3,-1.5,9,-1.711143278,-1.771729143,-1.495247932,-1.877107541,0,0.77,1.26,0.165756458,0.892534776
3,-1.5,9,-1.412762296,-1.320221893,-1.499801161,-1.303291948,0,1.25,3.69,0.005349221,0.048142988
3,-1.5,9,-1.252693114,-1.255037387,-1.202266922,-1.513450392,0,1.01,1.5,0.171061194,0.798285571
3,-1.5,9,-1.368139013,-1.812261795,-1.322239596,-1.665228603,0,1.18,2.89,0.361067702,1.128336568
3,-1.5,9,-1.752292305,-1.772695384,-1.760424829,0,0,0.75,0.64,0.228486317,0.628337371
3,-1.5,9,-1.561793973,-1.577860532,-1.432911244,-1.490185518,0.01,0.75,0.97,0.194077333,0.787725646
3,-1.5,9,-1.566470799,-1.941248385,-1.88353204,-1.380454644,0,0.72,1.14,0.372874375,0.601410281
3,-1.5,9,-1.736303982,-1.60228038,-1.806120283,-2.297114857,0.02,0.78,0.65,0.053315587,0.266577934
