L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.MV,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
8,-1.5,9,-1.670929932,-1.480687211,-1.574635678,-1.731671586,0,2.2,0.85,0,0.068287651,0.455251004
8,-1.5,9,-2.188577389,-1.924780357,-2.116279109,-2.529559308,0.02,3.87,1.52,0,0.012249022,0.146988258
8,-1.5,9,-2.284904338,-2.313960543,-1.805570174,-2.589382184,0,1.7,1.34,0.01,0.418693563,0.77963629
8,-1.5,9,-2.117377901,-1.864293275,-2.146107242,-2.388167124,0,3.27,2.4,0,0.024119847,0.048239693
8,-1.5,9,-1.308903246,-1.224661539,-1.268240497,-1.295127798,0,15.05,1.22,0,0.069079339,0.379936367
8,-1.5,9,-1.365015756,-1.235004886,-1.31732241,-1.496580199,0,3.73,1.15,0,0.023592654,0.401075112
8,-1.5,9,-4.412369364,-3.048305372,-2.524197617,-4.731824471,0,2.91,1.69,0,0.374312097,0.6385324
8,-1.5,9,-4.17071332,-3.17690998,-2.46690319,-4.762116713,0,3.03,1.43,0,0.340436899,0.634450584
8,-1.5,9,-1.553422276,-1.453841236,-1.624376504,-1.678363478,0.02,4.46,1.5,0,0.022596392,0.158174747
8,-1.5,9,-1.757347097,-1.582029054,-1.548192705,-2.074594419,0,4.26,1.36,0,0.122332079,0.611660394
8,-1.5,9,-3.679053812,-2.972512106,-2.259579978,-4.199111481,0.02,2.65,2.04,0,0.497036013,0.70732048
8,-1.5,9,-1.116455473,-1.07584598,-1.105469846,-1.114817231,0.02,4.06,1.5,0,0.040341596,0.20170798
8,-1.5,9,-2.172436792,-1.800299109,-1.785871097,-2.605479746,0.02,3.89,1.65,0,0.102454715,0.63521923
8,-1.5,9,-1.440530072,-1.331163326,-1.402075337,-1.578341498,0,2.99,0.59,0,0.020629263,0.350697478
8,-1.5,9,-1.969938089,-2.017633751,-1.671889447,-2.420119637,0,2.83,1.75,0,0.198290894,0.638937324
8,-1.5,9,-6.463803636,-3.689750858,-3.418263349,-7.065997425,0.02,4.01,2.08,0,0.272273614,0.500394749
8,-1.5,9,-2.631639734,-2.14999889,-2.133873068,-2.830211107,0.03,2.47,1.17,0,0.17438739,0.523162169
8,-1.5,9,-2.710250207,-2.189133916,-2.191799338,-2.745313198,0,2.25,0.92,0,0.210226676,0.517481048
8,-1.5,9,-2.411063611,-2.481717039,-1.853920297,-2.862492481,0,1.97,1.83,0,0.38500436,0.713390433
8,-1.5,9,-3.232655125,-2.56395861,-2.229088233,-3.348876476,0.01,1.97,1.08,0,0.303498475,0.635901567
8,-1.5,9,-1.431807607,-1.98721289,-1.413583379,-1.751538638,0,1.47,1.67,0,0.432823757,0.996806229
8,-1.5,9,-4.724635421,-3.170260227,-2.781202179,-5.031579632,0,3.07,1.82,0,0.224498867,0.570601288
8,-1.5,9,-3.623730517,-3.138470636,-2.567261718,-4.192793376,0.02,3,1.47,0,0.502379986,0.641336152
