L,alfa,n,alfa.MV,alfa.DT.GA.BFGS,alfa.DT.LN.BFGS,alfa.LC,tiempo.BFGS.GA,tiempo.BFGS.LN,tiempo.LC,b.GA,b.LN
3,-1.5,9,-2.123755786,-2.701008618,-1.750852104,-2.431656706,1.05,1.87,0,0.168274075,0.718989231
3,-1.5,9,-3.905144661,-3.269480962,-2.771722502,-4.400789919,1.46,2.54,0,0.274584327,0.549168653
3,-1.5,9,-2.744702399,-2.283241658,-3.144962513,-3.152849447,3.71,2.06,0,0.011400546,0.114005458
3,-1.5,9,-20,-8.099492562,-7.145972268,0,2.01,2.11,0,0.418287359,0.50194483
3,-1.5,9,-7.776878583,-4.55087638,-6.674824449,-5.281790973,3.26,0.3,0,0.587246258,0.345438975
3,-1.5,9,-1.353861327,-1.797078557,-1.3389035,-1.524577062,1.15,2.06,0,0.235659651,1.162587611
3,-1.5,9,-2.230070636,-1.909637847,-1.931575598,-2.268679187,1.39,1.32,0,0.230606034,0.645696895
3,-1.5,9,-20,-5.577278586,-3.44780479,-9.4516009,2.45,3.81,0,0.578928259,0.667239349
3,-1.5,9,-20,-5.747684532,-6.473559919,-6.581377654,3.76,3.73,0,0.569011707,0.5190984
3,-1.5,9,-1.800474318,-1.879763505,-1.612363538,-2.096430987,1.59,2.3,0,0.21274868,0.63824604
3,-1.5,9,-1.961903461,-1.756556987,-1.923729541,-1.995407284,2,0.72,0,0.048893411,0.366700583
3,-1.5,9,-7.01423645,-4.146000467,-3.127985586,-8.408086591,2.47,2.84,0,0.341930088,0.639740164
3,-1.5,9,-2.184990831,-2.406144636,-1.809072639,-2.516881884,1.14,2.44,0,0.271591533,0.692558409
3,-1.5,9,-1.324168463,-1.231924127,-1.27595538,-1.331124186,1.95,1.5,0,0.103870792,0.623224749
3,-1.5,9,-1.59547722,-1.751487853,-1.441739223,-1.693344203,0.89,1.46,0,0.29694549,0.915581928
3,-1.5,9,-1.366679373,-1.214582503,-1.262913672,-1.600218999,6.26,2.65,0,0.081098215,0.66230209
3,-1.5,9,-2.5241818,-3.25721559,-1.809839341,-2.538328422,0.9,2.37,0,0.628629142,0.990090898
3,-1.5,9,-4.741540386,-3.27360953,-3.078127515,-5.716057872,1.95,2.68,0,0.237654883,0.594137207
3,-1.5,9,-3.4247536,-3.165355372,-6.43017884,-3.648921102,2.23,2.53,0,0.013941387,0.097589707
3,-1.5,9,-20,-6.561012471,-3.627975426,0,1.98,1.78,0,0.463236556,0.667374699
3,-1.5,9,-1.556958163,-1.737195376,-1.635062038,-1.658648046,1.04,1.75,0,0.302070122,0.226552591
3,-1.5,9,-20,-7.63868851,-5.688453592,0,2.42,1.9,0,0.349002955,0.565052403
3,-1.5,9,-20,-10.61517577,-17.23433883,0,2.12,2.69,0,0.390024373,0.382523905
3,-1.5,9,-1.087121016,-1.069723747,-1.072594069,-1.100935199,2.93,2.06,0,0.040864515,0.61296772
3,-1.5,9,-2.635166781,-3.433763165,-1.859411917,-2.975786111,0.78,2.87,0,0.480184619,0.821649236
3,-1.5,9,-2.707768143,-2.959244742,-1.944435663,-3.005005229,1.03,2.25,0,0.420451067,0.780837695
3,-1.5,9,-4.748139302,-3.347175448,-3.754013019,-6.151347127,2.29,1.23,0,0.114913859,0.445291205
